No,PM_US_Post,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
17611,54,2012,1,4,18,4,-14,29.38,1033.9,2,NW,4,0,0
17612,58,2012,1,4,19,4,-13,36.82,1033.9,0,NE,4,0,0
17613,55,2012,1,4,20,4,-14,31.56,1033.9,1,NW,3,0,0
17614,64,2012,1,4,21,4,-11,46.53,1033.9,-1,NE,4,0,0
17615,64,2012,1,4,22,4,-10,50.38,1033.9,-1,NE,7,0,0
17616,49,2012,1,4,23,4,-9,54.51,1033.9,-1,NE,10,0,0
17617,53,2012,1,5,0,4,-8,63.45,1033.9,-2,NE,13,0,0
17618,51,2012,1,5,1,4,-8,58.95,1032.9,-1,NE,17,0,0
17619,39,2012,1,5,2,4,-8,58.95,1032.9,-1,NE,20,0,0
17620,38,2012,1,5,3,4,-7,59.21,1031.8,0,NE,24,0,0
17621,38,2012,1,5,4,4,-7,63.69,1032.9,-1,NW,2,0,0
17622,36,2012,1,5,5,4,-7,63.69,1032.9,-1,NE,2,0,0
17623,38,2012,1,5,6,4,-7,63.69,1032.9,-1,NE,5,0,0
17624,46,2012,1,5,7,4,-8,54.8,1033.9,0,NW,3,0,0
17625,50,2012,1,5,8,4,-11,43.26,1032.9,0,NW,6,0,0
17626,49,2012,1,5,9,4,-11,40.24,1033.9,1,NW,9,0,0
17627,49,2012,1,5,10,4,-11,37.45,1032.9,2,NE,3,0,0
17630,50,2012,1,5,13,4,-11,30.31,1030.1,5,NW,4,0,0
17631,50,2012,1,5,14,4,-12,26.09,1029.1,6,SW,2,0,0
17632,59,2012,1,5,15,4,-13,24.06,1029.1,6,SW,4,0,0
17633,60,2012,1,5,16,4,-14,23.77,1028.1,5,NW,2,0,0
17634,71,2012,1,5,17,4,-13,27.66,1029.1,4,SW,3,0,0
17635,84,2012,1,5,18,4,-12,32.19,1029.1,3,NW,2,0,0
17636,72,2012,1,5,19,4,-12,32.19,1029.1,3,NW,4,0,0
17637,64,2012,1,5,20,4,-12,34.56,1030.1,2,SW,2,0,0
17638,50,2012,1,5,21,4,-4,55.91,1029.1,4,cv,2,0,0
17639,48,2012,1,5,22,4,-3,64.66,1029.1,3,NE,2,0,0
17640,45,2012,1,5,23,4,-3,64.66,1030.1,3,NE,3,0,0
17641,49,2012,1,6,0,4,-3,64.66,1029.1,3,NE,4,0,0
17642,52,2012,1,6,1,4,-3,64.66,1030.1,3,NE,7,0,0
17643,53,2012,1,6,2,4,-2,69.64,1029.1,3,NE,11,0,0
17644,50,2012,1,6,3,4,-3,64.66,1030.1,3,NE,14,0,0
17645,57,2012,1,6,4,4,-3,64.66,1030.1,3,NE,17,0,0
17646,56,2012,1,6,5,4,-4,60,1030.1,3,NE,20,0,0
17647,56,2012,1,6,6,4,-4,60,1030.1,3,NE,22,0,0
17648,58,2012,1,6,7,4,-5,51.84,1030.1,4,NE,25,0,0
17649,43,2012,1,6,8,4,-4,55.91,1031.2,4,NE,28,0,0
17650,42,2012,1,6,9,4,-3,60.25,1031.8,4,NE,32,0,0
17651,41,2012,1,6,10,4,-3,56.18,1032.9,5,NE,36,0,0
17652,34,2012,1,6,11,4,-6,44.8,1031.8,5,NE,39,0,0
17653,43,2012,1,6,12,4,-6,41.79,1031.2,6,NE,43,0,0
17654,42,2012,1,6,13,4,-7,38.7,1031.2,6,NE,48,0,0
17655,31,2012,1,6,14,4,-7,36.13,1031.2,7,NE,50,0,0
17656,35,2012,1,6,15,4,-5,42.1,1031.2,7,NE,54,0,0
17657,29,2012,1,6,16,4,-5,42.1,1031.2,7,NE,58,0,0
17658,31,2012,1,6,17,4,-4,48.63,1031.8,6,NE,61,0,0
17659,34,2012,1,6,18,4,-3,52.41,1032.9,6,NE,65,0,0
17660,39,2012,1,6,19,4,-2,60.51,1033.9,5,NE,71,0,0
17661,39,2012,1,6,20,4,-2,64.9,1033.9,4,NE,75,0,0
17662,44,2012,1,6,21,4,-3,64.66,1034.9,3,NE,79,0,0
17663,41,2012,1,6,22,4,-2,74.78,1034.9,2,NE,82,0,0
17664,44,2012,1,6,23,4,-3,74.59,1034.9,1,NE,85,0,0
17665,46,2012,1,7,0,4,-3,74.59,1034.9,1,NW,3,0,0
17666,52,2012,1,7,1,4,-2,86.37,1034.9,0,NE,2,0,0
17667,52,2012,1,7,2,4,-2,80.34,1034.9,1,NE,4,0,0
17668,53,2012,1,7,3,4,-2,86.37,1034.9,0,NE,8,0,0
17669,43,2012,1,7,4,4,-2,86.37,1034.9,0,NE,11,0,0
17670,47,2012,1,7,5,4,-3,80.19,1034.9,0,NE,13,0,0
17671,56,2012,1,7,6,4,-3,80.19,1034.9,0,NE,15,0,0
17672,57,2012,1,7,7,4,-3,80.19,1034.9,0,NE,18,0,0
17673,65,2012,1,7,8,4,-1,80.49,1035.9,2,NE,21,0,0
17674,69,2012,1,7,9,4,0,70.06,1036.9,5,NE,24,0,0
17675,57,2012,1,7,10,4,0,61.01,1036.9,7,NE,27,0,0
17676,33,2012,1,7,11,4,0,56.99,1035.9,8,NE,33,0,0
17677,27,2012,1,7,12,4,0,56.99,1034.9,8,NE,38,0,0
17678,27,2012,1,7,13,4,-1,52.98,1033.9,8,NE,42,0,0
17679,22,2012,1,7,14,4,-2,49.22,1032.9,8,NE,47,0,0
17680,26,2012,1,7,15,4,-2,49.22,1032.9,8,NE,51,0,0
17681,27,2012,1,7,16,4,-1,52.98,1033.9,8,NE,55,0,0
17682,27,2012,1,7,17,4,-2,52.7,1033.9,7,NE,59,0,0
17683,37,2012,1,7,18,4,-1,60.76,1033.9,6,NE,62,0,0
17684,33,2012,1,7,19,4,-1,60.76,1033.9,6,NE,67,0,0
17685,43,2012,1,7,20,4,-1,60.76,1033.9,6,NE,72,0,0
17686,33,2012,1,7,21,4,-1,60.76,1033.9,6,NE,76,0,0
17687,32,2012,1,7,22,4,-1,60.76,1033.9,6,NE,80,0,0
17688,25,2012,1,7,23,4,-1,60.76,1032.9,6,NE,84,0,0
17689,26,2012,1,8,0,4,-1,60.76,1032.9,6,NE,88,0,0
17690,24,2012,1,8,1,4,-1,60.76,1032.9,6,NE,91,0,0
17691,15,2012,1,8,2,4,-1,60.76,1031.8,6,NE,94,0,0
17692,16,2012,1,8,3,4,-1,60.76,1031.8,6,NE,97,0,0
17693,15,2012,1,8,4,4,0,65.36,1031.8,6,NE,100,0.1,0.1
17694,14,2012,1,8,5,4,1,70.27,1031.8,6,NE,103,0.1,0.2
17695,16,2012,1,8,6,4,2,80.92,1031.8,5,NE,105,0.1,0.3
17696,21,2012,1,8,7,4,2,80.92,1031.8,5,NE,107,0.3,0.6
17697,26,2012,1,8,8,4,3,86.89,1032.9,5,NE,110,0.2,0.8
17698,24,2012,1,8,9,4,3,81.06,1032.9,6,NE,112,0.1,0.9
17699,22,2012,1,8,10,4,3,81.06,1032.9,6,NE,115,0,0
17700,24,2012,1,8,11,4,3,75.67,1031.8,7,NE,117,0,0
17701,26,2012,1,8,12,4,2,70.47,1031.2,7,NE,119,0.2,0.2
17702,27,2012,1,8,13,4,3,81.06,1031.2,6,NE,121,0.1,0.3
17703,26,2012,1,8,14,4,4,86.99,1030.1,6,NE,124,0,0
17704,30,2012,1,8,15,4,3,75.67,1030.1,7,NE,128,0,0
17705,27,2012,1,8,16,4,2,70.47,1030.1,7,NE,131,0,0
17706,35,2012,1,8,17,4,2,70.47,1031.2,7,NE,135,0,0
17707,42,2012,1,8,18,4,1,65.59,1031.2,7,NE,139,0,0
17708,40,2012,1,8,19,4,2,75.49,1031.2,6,NE,143,0,0
17709,37,2012,1,8,20,4,1,70.27,1031.8,6,NE,148,0,0
17710,39,2012,1,8,21,4,0,65.36,1031.2,6,NE,152,0,0
17711,44,2012,1,8,22,4,0,65.36,1031.2,6,NE,156,0,0
17712,43,2012,1,8,23,4,0,65.36,1031.2,6,NE,159,0,0
17713,43,2012,1,9,0,4,0,65.36,1031.2,6,NE,162,0,0
17714,42,2012,1,9,1,4,1,75.32,1031.2,5,NE,165,0,0
17715,32,2012,1,9,2,4,1,75.32,1031.2,5,NE,168,0,0
17716,32,2012,1,9,3,4,2,80.92,1031.8,5,NE,171,0,0
17717,36,2012,1,9,4,4,2,80.92,1031.2,5,NE,174,0,0
17718,41,2012,1,9,5,4,2,86.79,1031.2,4,NE,176,0,0
17719,44,2012,1,9,6,4,2,80.92,1031.8,5,NE,178,0,0
17720,41,2012,1,9,7,4,2,80.92,1031.8,5,NE,180,0,0
17721,52,2012,1,9,8,4,2,80.92,1031.8,5,NE,184,0,0
17722,41,2012,1,9,9,4,2,75.49,1032.9,6,NE,187,0,0
17723,38,2012,1,9,10,4,2,70.47,1032.9,7,NE,190,0,0
17724,43,2012,1,9,11,4,1,61.26,1031.2,8,NE,192,0,0
17725,48,2012,1,9,12,4,0,56.99,1030.1,8,NE,195,0,0
17726,46,2012,1,9,13,4,-1,49.51,1030.1,9,NW,2,0,0
17727,49,2012,1,9,14,4,-1,49.51,1030.1,9,NE,2,0,0
17728,57,2012,1,9,15,4,-1,49.51,1030.1,9,NE,5,0,0
17729,54,2012,1,9,16,4,-2,46,1029.1,9,NE,8,0,0
17730,56,2012,1,9,17,4,-2,49.22,1030.1,8,NE,11,0,0
17731,56,2012,1,9,18,4,0,56.99,1030.1,8,NE,15,0,0
17732,58,2012,1,9,19,4,1,61.26,1030.1,8,NE,18,0,0
17733,56,2012,1,9,20,4,1,61.26,1030.1,8,SE,3,0,0
17734,75,2012,1,9,21,4,1,61.26,1030.1,8,NE,3,0,0
17735,75,2012,1,9,22,4,1,65.59,1030.1,7,NE,6,0,0
17736,77,2012,1,9,23,4,1,65.59,1030.1,7,NE,9,0,0
17737,84,2012,1,10,0,4,1,65.59,1030.1,7,NE,12,0,0
17738,93,2012,1,10,1,4,1,70.27,1030.1,6,NE,14,0,0
17739,92,2012,1,10,2,4,1,70.27,1030.1,6,NE,18,0,0
17740,93,2012,1,10,3,4,1,70.27,1030.1,6,NE,20,0,0
17741,98,2012,1,10,4,4,1,70.27,1029.1,6,NE,22,0,0
17742,105,2012,1,10,5,4,1,70.27,1029.1,6,NE,24,0,0
17743,96,2012,1,10,6,4,2,75.49,1029.1,6,NE,26,0,0
17744,83,2012,1,10,7,4,1,70.27,1029.1,6,NE,28,0,0
17745,80,2012,1,10,8,4,1,65.59,1029.1,7,NE,30,0,0
17746,75,2012,1,10,9,4,0,61.01,1030.1,7,NE,33,0,0
17747,86,2012,1,10,10,4,0,56.99,1031.2,8,NE,36,0,0
17749,87,2012,1,10,12,4,1,57.25,1029.1,9,NW,3,0,0
17750,98,2012,1,10,13,4,0,53.26,1028.1,9,NE,4,0,0
17751,85,2012,1,10,14,4,0,53.26,1028.1,9,NE,8,0,0
17752,80,2012,1,10,15,4,0,53.26,1028.1,9,NE,12,0,0
17753,88,2012,1,10,16,4,0,56.99,1028.1,8,NE,17,0,0
17754,89,2012,1,10,17,4,0,56.99,1029.1,8,NE,21,0,0
17755,91,2012,1,10,18,4,0,61.01,1029.1,7,NE,25,0,0
17756,94,2012,1,10,19,4,0,61.01,1029.1,7,NE,28,0,0
17757,90,2012,1,10,20,4,1,65.59,1030.1,7,NE,31,0,0
17758,83,2012,1,10,21,4,0,65.36,1031.2,6,NE,35,0,0
17759,85,2012,1,10,22,4,1,70.27,1031.2,6,NE,39,0,0
17760,93,2012,1,10,23,4,0,70.06,1031.2,5,NE,43,0,0
17761,104,2012,1,11,0,4,0,70.06,1031.2,5,NE,47,0,0
17762,108,2012,1,11,1,4,-1,65.13,1031.2,5,NE,52,0,0
17763,118,2012,1,11,2,4,-1,65.13,1031.8,5,NW,3,0,0
17764,129,2012,1,11,3,4,-1,65.13,1031.8,5,NE,5,0,0
17765,169,2012,1,11,4,4,-1,65.13,1031.8,5,NE,9,0,0
17766,210,2012,1,11,5,4,1,80.78,1031.8,4,NE,14,0,0
17767,249,2012,1,11,6,4,1,80.78,1032.9,4,NE,18,0,0
17768,238,2012,1,11,7,4,2,86.79,1032.9,4,NE,22,0,0
17769,261,2012,1,11,8,4,1,80.78,1033.9,4,NE,28,0,0
17770,287,2012,1,11,9,4,1,75.32,1034.9,5,NE,34,0,0
17771,296,2012,1,11,10,4,0,65.36,1034.9,6,NE,41,0,0
17772,217,2012,1,11,11,4,0,61.01,1034.9,7,NE,48,0,0
17773,188,2012,1,11,12,4,0,56.99,1033.9,8,NE,55,0,0
17774,143,2012,1,11,13,4,-2,49.22,1032.9,8,NE,62,0,0
17775,111,2012,1,11,14,4,-4,42.4,1033.9,8,NE,69,0,0
17776,84,2012,1,11,15,4,-4,45.4,1033.9,7,NE,76,0,0
17777,61,2012,1,11,16,4,-2,52.7,1033.9,7,NE,83,0,0
17778,54,2012,1,11,17,4,-3,56.18,1034.9,5,NE,90,0,0
17779,56,2012,1,11,18,4,-3,60.25,1034.9,4,NE,97,0,0
17780,56,2012,1,11,19,4,-4,55.91,1034.9,4,NE,103,0,0
17781,53,2012,1,11,20,4,-4,60,1034.9,3,NE,108,0,0
17782,49,2012,1,11,21,4,-5,55.63,1034.9,3,NE,113,0,0
17783,44,2012,1,11,22,4,-4,60,1034.9,3,NE,118,0,0
17784,29,2012,1,11,23,4,-4,60,1033.9,3,NE,123,0,0
17785,29,2012,1,12,0,4,-4,64.42,1033.9,2,NE,127,0,0
17786,26,2012,1,12,1,4,-4,64.42,1033.9,2,NE,131,0,0
17787,27,2012,1,12,2,4,-4,64.42,1033.9,2,NE,135,0,0
17788,23,2012,1,12,3,4,-4,69.21,1033.9,1,NE,137,0,0
17789,20,2012,1,12,4,4,-3,69.43,1032.9,2,NE,140,0,0
17790,21,2012,1,12,5,4,-4,69.21,1032.9,1,NE,142,0,0
17791,26,2012,1,12,6,4,-4,69.21,1032.9,1,cv,0,0,0
17792,17,2012,1,12,7,4,-3,80.19,1032.9,0,cv,0,0,0
17793,19,2012,1,12,8,4,-2,74.78,1032.9,2,NE,2,0,0
17794,25,2012,1,12,9,4,-2,64.9,1031.8,4,cv,0,0,0
17795,24,2012,1,12,10,4,-3,52.41,1031.8,6,SE,2,0,0
17796,43,2012,1,12,11,4,-4,45.4,1031.2,7,cv,2,0,0
17797,60,2012,1,12,12,4,-5,42.1,1029.1,7,SE,2,0,0
17798,62,2012,1,12,13,4,-5,39.32,1028.1,8,NE,2,0,0
17799,72,2012,1,12,14,4,-5,39.32,1027.1,8,SE,2,0,0
17800,84,2012,1,12,15,4,-4,42.4,1027.1,8,SE,5,0,0
17801,96,2012,1,12,16,4,-4,42.4,1027.1,8,SW,4,0,0
17802,55,2012,1,12,17,4,-4,42.4,1027.1,8,SW,7,0,0
17803,57,2012,1,12,18,4,-2,52.7,1027.1,7,SE,4,0,0
17804,54,2012,1,12,19,4,-1,56.72,1027.1,7,SE,7,0,0
17805,67,2012,1,12,20,4,-1,60.76,1027.1,6,SE,10,0,0
17806,69,2012,1,12,21,4,-1,60.76,1027.1,6,SE,12,0,0
17807,68,2012,1,12,22,4,-1,60.76,1027.1,6,SE,14,0,0
17808,65,2012,1,12,23,4,-1,56.72,1027.1,7,NE,1,0,0
17809,44,2012,1,13,0,4,-1,60.76,1027.1,6,cv,1,0,0
17810,44,2012,1,13,1,4,-1,60.76,1027.1,6,cv,1,0,0
17811,37,2012,1,13,2,4,0,65.36,1026.1,6,cv,1,0,0
17812,43,2012,1,13,3,4,0,65.36,1026.1,6,NW,1,0,0
17813,38,2012,1,13,4,4,1,70.27,1026.1,6,NE,2,0,0
